run; test_dataset; aAcc; mIoU; mAcc
train_mask2former_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,7; cityscapes; 94,7000; 69,9200; 82,3900
train_mask2former_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,7; acdc_rain; 88,6700; 46,7000; 60,6200
train_mask2former_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,7; acdc_snow; 87,2700; 46,6900; 55,8200
train_mask2former_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,7; acdc_fog; 89,6400; 57,1700; 70,4400
train_mask2former_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,6; acdc_night; 56,9900; 25,3400; 39,4200
train_mask2former_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,6; dark_zurich; 53,9500; 23,7900; 37,3300
train_mask2former_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,6; cityscapes; 95,2200; 72,9800; 83,9900
train_mask2former_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,6; acdc_rain; 88,5200; 43,6300; 59,6900
train_mask2former_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,6; acdc_snow; 85,7900; 48,6500; 59,9400
train_mask2former_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,6; acdc_fog; 89,7900; 59,6700; 73,2100
train_mask2former_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,9; acdc_night; 56,1700; 24,4600; 38,6500
train_mask2former_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,9; dark_zurich; 54,3900; 24,6500; 39,1700
train_mask2former_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,9; cityscapes; 92,1600; 59,8300; 72,1700
train_mask2former_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,9; acdc_rain; 86,6200; 39,3900; 49,6100
train_mask2former_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,9; acdc_snow; 82,5300; 42,4100; 52,8400
train_mask2former_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,9; acdc_fog; 87,5600; 48,4000; 62,0700
train_mask2former_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,5; acdc_night; 57,4200; 23,7100; 37,6000
train_mask2former_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,5; dark_zurich; 53,5500; 20,9900; 34,0100
train_mask2former_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,5; cityscapes; 95,3000; 72,8900; 84,8500
train_mask2former_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,5; acdc_rain; 86,2600; 43,1400; 58,1300
train_mask2former_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,5; acdc_snow; 83,8800; 48,5300; 58,2800
train_mask2former_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,5; acdc_fog; 88,2200; 57,5300; 69,7500
train_mask2former_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,4; acdc_night; 60,2200; 26,6200; 43,4900
train_mask2former_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,4; dark_zurich; 56,3900; 22,0400; 37,4800
train_mask2former_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,4; cityscapes; 95,5100; 74,1500; 85,9300
