run; test_dataset; aAcc; mIoU; mAcc
train_deeplabv3plus_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,4; acdc_fog; 85,7800; 50,3600; 61,7700
train_deeplabv3plus_co_seed_25_depth_5_channel_3_sparse_percent_based_0,4; acdc_night; 55,8700; 19,9000; 31,8000
train_deeplabv3plus_co_seed_25_depth_5_channel_3_sparse_percent_based_0,4; dark_zurich; 52,4100; 18,8700; 31,2600
train_deeplabv3plus_co_seed_25_depth_5_channel_3_sparse_percent_based_0,4; cityscapes; 94,8800; 67,9500; 77,9100
train_deeplabv3plus_co_seed_25_depth_5_channel_3_sparse_percent_based_0,4; acdc_rain; 82,1100; 38,1700; 50,7000
train_deeplabv3plus_co_seed_25_depth_5_channel_3_sparse_percent_based_0,4; acdc_snow; 75,4800; 32,2100; 44,2100
train_deeplabv3plus_co_seed_25_depth_5_channel_3_sparse_percent_based_0,4; acdc_fog; 86,6900; 50,1500; 59,5300
train_deeplabv3plus_co_seed_25_depth_5_channel_3_sparse_percent_based_0,5; acdc_night; 59,0000; 21,1500; 30,4800
train_deeplabv3plus_co_seed_25_depth_5_channel_3_sparse_percent_based_0,5; dark_zurich; 55,7200; 20,7500; 31,6100
train_deeplabv3plus_co_seed_25_depth_5_channel_3_sparse_percent_based_0,5; cityscapes; 94,6100; 67,2600; 77,8700
train_deeplabv3plus_co_seed_25_depth_5_channel_3_sparse_percent_based_0,5; acdc_rain; 84,8800; 39,8700; 52,4700
train_deeplabv3plus_co_seed_25_depth_5_channel_3_sparse_percent_based_0,5; acdc_snow; 78,0200; 35,0200; 47,6600
train_deeplabv3plus_co_seed_25_depth_5_channel_3_sparse_percent_based_0,5; acdc_fog; 88,4900; 48,4600; 62,0000
train_deeplabv3plus_co_seed_25_depth_5_channel_3_sparse_percent_based_0,9; acdc_night; 55,6200; 21,1500; 31,6900
train_deeplabv3plus_co_seed_25_depth_5_channel_3_sparse_percent_based_0,9; dark_zurich; 51,9800; 19,9900; 32,7100
train_deeplabv3plus_co_seed_25_depth_5_channel_3_sparse_percent_based_0,9; cityscapes; 92,6800; 60,1100; 70,2100
