run; test_dataset; aAcc_mean; aAcc_std; mIoU_mean; mIoU_std; mAcc_mean; mAcc_std
train_upernet_sc_depth_5_channel_3_sparse_percent_based_0,7; cityscapes; 93,1700; 0,2921; 60,9167; 0,6311; 70,0467; 1,4270
train_upernet_sc_depth_5_channel_3_sparse_percent_based_0,7; dark_zurich; 44,9700; 0,2816; 14,7367; 0,7637; 26,7333; 1,8402
train_upernet_sc_depth_5_channel_3_sparse_percent_based_0,8; acdc_fog; 74,6333; 6,8252; 36,9200; 2,0791; 45,4167; 0,5254
train_upernet_sc_depth_5_channel_3_sparse_percent_based_0,8; acdc_night; 33,7967; 8,2970; 12,5133; 1,7392; 21,6300; 2,5320
train_upernet_sc_depth_5_channel_3_sparse_percent_based_0,8; acdc_rain; 77,7800; 4,1187; 30,4333; 1,1068; 37,5567; 0,5450
train_upernet_sc_depth_5_channel_3_sparse_percent_based_0,8; acdc_snow; 69,0833; 3,3135; 23,6300; 0,5367; 30,2333; 0,7722
train_upernet_sc_depth_5_channel_3_sparse_percent_based_0,8; cityscapes; 92,5700; 0,2946; 60,1233; 1,1378; 68,9967; 1,3489
train_upernet_sc_depth_5_channel_3_sparse_percent_based_0,8; dark_zurich; 33,6167; 10,3068; 12,2433; 1,3983; 22,9033; 3,0016
train_upernet_sc_depth_5_channel_3_sparse_percent_based_0,9; acdc_fog; 68,8633; 3,6728; 26,1833; 2,1921; 33,9667; 1,8250
train_upernet_sc_depth_5_channel_3_sparse_percent_based_0,9; acdc_night; 42,3067; 8,2759; 12,5300; 0,9762; 22,3400; 1,5758
train_upernet_sc_depth_5_channel_3_sparse_percent_based_0,9; acdc_rain; 74,2767; 2,7336; 23,4633; 1,3891; 29,4267; 1,9262
train_upernet_sc_depth_5_channel_3_sparse_percent_based_0,9; acdc_snow; 63,6133; 4,8704; 18,2100; 2,2703; 24,1867; 2,6043
train_upernet_sc_depth_5_channel_3_sparse_percent_based_0,9; cityscapes; 90,2000; 0,2551; 53,5100; 0,8294; 63,2100; 1,3438
train_upernet_sc_depth_5_channel_3_sparse_percent_based_0,9; dark_zurich; 39,9800; 6,9888; 12,2000; 1,0956; 23,6533; 1,5464
