run; test_dataset; aAcc; mIoU; mAcc
train_mask2former_co_seed_42_depth_5_channel_3_sparsity_0,0075; cityscapes; 95,5100; 74,5900; 85,9800
train_mask2former_co_seed_42_depth_5_channel_3_sparsity_0,0075; acdc_rain; 88,7600; 48,8800; 64,8700
train_mask2former_co_seed_42_depth_5_channel_3_sparsity_0,0075; acdc_snow; 86,7900; 49,9600; 63,0800
train_mask2former_co_seed_42_depth_5_channel_3_sparsity_0,0075; acdc_fog; 90,9500; 64,2400; 76,4200
train_mask2former_co_seed_42_depth_5_channel_3_sparsity_0,0075; acdc_full; 80,8800; 45,9000; 58,9300
train_mask2former_co_seed_42_depth_5_channel_3_sparsity_0,02; acdc_night; 52,2500; 21,0800; 33,1800
train_mask2former_co_seed_42_depth_5_channel_3_sparsity_0,02; dark_zurich; 50,5100; 20,3500; 32,1900
train_mask2former_co_seed_42_depth_5_channel_3_sparsity_0,02; cityscapes; 94,9000; 69,9000; 82,1700
train_mask2former_co_seed_42_depth_5_channel_3_sparsity_0,02; acdc_rain; 85,7200; 43,8700; 59,9400
train_mask2former_co_seed_42_depth_5_channel_3_sparsity_0,02; acdc_snow; 81,2000; 43,2500; 55,9600
train_mask2former_co_seed_42_depth_5_channel_3_sparsity_0,02; acdc_fog; 89,0500; 55,1800; 69,4900
train_mask2former_co_seed_42_depth_5_channel_3_sparsity_0,02; acdc_full; 76,8600; 40,4800; 52,9200
train_mask2former_co_seed_42_depth_5_channel_3_sparsity_0,005; acdc_night; 57,6500; 23,1000; 38,7800
train_mask2former_co_seed_42_depth_5_channel_3_sparsity_0,005; dark_zurich; 54,1200; 20,3200; 35,7000
train_mask2former_co_seed_42_depth_5_channel_3_sparsity_0,005; cityscapes; 95,6600; 74,3700; 84,9400
train_mask2former_co_seed_42_depth_5_channel_3_sparsity_0,005; acdc_rain; 87,0900; 45,9800; 61,1500
train_mask2former_co_seed_42_depth_5_channel_3_sparsity_0,005; acdc_snow; 81,4000; 45,8300; 58,5700
train_mask2former_co_seed_42_depth_5_channel_3_sparsity_0,005; acdc_fog; 89,2400; 64,6000; 77,7000
train_mask2former_co_seed_42_depth_5_channel_3_sparsity_0,005; acdc_full; 78,6800; 43,7900; 57,7600
train_mask2former_co_seed_7_depth_5_channel_3_sparsity_0,0; acdc_night; 58,4200; 27,3200; 42,6300
train_mask2former_co_seed_7_depth_5_channel_3_sparsity_0,0; dark_zurich; 54,3100; 24,0500; 38,4400
train_mask2former_co_seed_7_depth_5_channel_3_sparsity_0,0; cityscapes; 95,5700; 73,3900; 84,5000
train_mask2former_co_seed_7_depth_5_channel_3_sparsity_0,0; acdc_rain; 85,6600; 44,6100; 60,7400
train_mask2former_co_seed_7_depth_5_channel_3_sparsity_0,0; acdc_snow; 81,6200; 47,7400; 60,4000
train_mask2former_co_seed_7_depth_5_channel_3_sparsity_0,0; acdc_fog; 89,1200; 62,6300; 78,4600
train_mask2former_co_seed_7_depth_5_channel_3_sparsity_0,0; acdc_full; 78,5400; 45,4000; 59,0400
train_mask2former_co_seed_7_depth_5_channel_3_sparsity_0,02; acdc_night; 56,4000; 24,9600; 37,3900
train_mask2former_co_seed_7_depth_5_channel_3_sparsity_0,02; dark_zurich; 53,0300; 22,4600; 35,3700
train_mask2former_co_seed_7_depth_5_channel_3_sparsity_0,02; cityscapes; 95,2100; 71,5500; 83,6200
train_mask2former_co_seed_7_depth_5_channel_3_sparsity_0,02; acdc_rain; 84,7600; 44,0700; 59,3600
train_mask2former_co_seed_7_depth_5_channel_3_sparsity_0,02; acdc_snow; 83,2500; 47,0200; 58,8100
train_mask2former_co_seed_7_depth_5_channel_3_sparsity_0,02; acdc_fog; 89,4900; 61,8100; 74,2700
train_mask2former_co_seed_7_depth_5_channel_3_sparsity_0,02; acdc_full; 78,3000; 43,8200; 55,4500
train_mask2former_co_seed_7_depth_5_channel_3_sparsity_0,0075; acdc_night; 59,0700; 26,6300; 38,9600
train_mask2former_co_seed_7_depth_5_channel_3_sparsity_0,0075; dark_zurich; 55,6300; 25,0800; 38,3400
train_mask2former_co_seed_7_depth_5_channel_3_sparsity_0,0075; cityscapes; 95,5900; 73,0900; 84,1100
train_mask2former_co_seed_7_depth_5_channel_3_sparsity_0,0075; acdc_rain; 89,6400; 49,1700; 64,9800
train_mask2former_co_seed_7_depth_5_channel_3_sparsity_0,0075; acdc_snow; 87,5900; 54,2800; 66,3200
train_mask2former_co_seed_7_depth_5_channel_3_sparsity_0,0075; acdc_fog; 92,7000; 65,6400; 77,4400
train_mask2former_co_seed_7_depth_5_channel_3_sparsity_0,0075; acdc_full; 82,0600; 48,6400; 60,7500
train_mask2former_co_seed_7_depth_5_channel_3_sparsity_0,01; acdc_night; 57,7200; 25,4900; 37,2000
train_mask2former_co_seed_7_depth_5_channel_3_sparsity_0,01; dark_zurich; 54,2600; 23,7700; 36,2200
train_mask2former_co_seed_7_depth_5_channel_3_sparsity_0,01; cityscapes; 95,6100; 74,6800; 85,5700
train_mask2former_co_seed_7_depth_5_channel_3_sparsity_0,01; acdc_rain; 89,7500; 49,7900; 64,4600
train_mask2former_co_seed_7_depth_5_channel_3_sparsity_0,01; acdc_snow; 86,3600; 51,4600; 62,2300
train_mask2former_co_seed_7_depth_5_channel_3_sparsity_0,01; acdc_fog; 92,5300; 64,8200; 76,3900
train_mask2former_co_seed_7_depth_5_channel_3_sparsity_0,01; acdc_full; 81,4000; 48,1600; 59,5100
train_mask2former_co_seed_7_depth_5_channel_3_sparsity_0,005; acdc_night; 59,1400; 25,1800; 40,4700
train_mask2former_co_seed_7_depth_5_channel_3_sparsity_0,005; dark_zurich; 56,0000; 22,6000; 37,7000
train_mask2former_co_seed_7_depth_5_channel_3_sparsity_0,005; cityscapes; 95,4300; 72,6100; 84,6100
train_mask2former_co_seed_7_depth_5_channel_3_sparsity_0,005; acdc_rain; 87,8900; 47,9300; 66,5800
train_mask2former_co_seed_7_depth_5_channel_3_sparsity_0,005; acdc_snow; 86,3100; 49,0500; 61,6300
train_mask2former_co_seed_7_depth_5_channel_3_sparsity_0,005; acdc_fog; 91,9100; 63,8200; 78,5500
train_mask2former_co_seed_7_depth_5_channel_3_sparsity_0,005; acdc_full; 81,1400; 45,6600; 59,0200
train_mask2former_sc_seed_25_depth_5_channel_3_sparsity_0,0; acdc_night; 56,9300; 26,6600; 40,4500
train_mask2former_sc_seed_25_depth_5_channel_3_sparsity_0,0; dark_zurich; 53,2700; 23,8100; 36,9100
train_mask2former_sc_seed_25_depth_5_channel_3_sparsity_0,0; cityscapes; 95,7600; 73,3100; 83,7300
train_mask2former_sc_seed_25_depth_5_channel_3_sparsity_0,0; acdc_rain; 83,1400; 40,9700; 55,9300
train_mask2former_sc_seed_25_depth_5_channel_3_sparsity_0,0; acdc_snow; 78,1800; 42,4900; 54,9900
train_mask2former_sc_seed_25_depth_5_channel_3_sparsity_0,0; acdc_fog; 88,9100; 60,0800; 74,8700
train_mask2former_sc_seed_25_depth_5_channel_3_sparsity_0,0; acdc_full; 76,6300; 43,2200; 56,9400
train_mask2former_sc_seed_25_depth_5_channel_3_sparsity_0,005; acdc_night; 60,4100; 28,9000; 42,3000
train_mask2former_sc_seed_25_depth_5_channel_3_sparsity_0,005; dark_zurich; 56,8200; 25,5700; 38,1900
train_mask2former_sc_seed_25_depth_5_channel_3_sparsity_0,005; cityscapes; 95,5500; 72,7600; 83,7500
train_mask2former_sc_seed_25_depth_5_channel_3_sparsity_0,005; acdc_rain; 88,8200; 46,8000; 63,8600
train_mask2former_sc_seed_25_depth_5_channel_3_sparsity_0,005; acdc_snow; 85,6800; 49,5900; 64,4100
train_mask2former_sc_seed_25_depth_5_channel_3_sparsity_0,005; acdc_fog; 91,1900; 64,2600; 79,3700
train_mask2former_sc_seed_25_depth_5_channel_3_sparsity_0,005; acdc_full; 81,3500; 47,6600; 62,2200
train_mask2former_sc_seed_25_depth_5_channel_3_sparsity_0,0075; acdc_night; 56,8000; 23,4900; 35,6100
train_mask2former_sc_seed_25_depth_5_channel_3_sparsity_0,0075; dark_zurich; 53,6600; 22,9400; 34,6100
train_mask2former_sc_seed_25_depth_5_channel_3_sparsity_0,0075; cityscapes; 95,7300; 74,6800; 84,7400
train_mask2former_sc_seed_25_depth_5_channel_3_sparsity_0,0075; acdc_rain; 85,2000; 44,1300; 62,9700
train_mask2former_sc_seed_25_depth_5_channel_3_sparsity_0,0075; acdc_snow; 78,9900; 41,0100; 53,6700
train_mask2former_sc_seed_25_depth_5_channel_3_sparsity_0,0075; acdc_fog; 89,0500; 64,0000; 78,3800
train_mask2former_sc_seed_25_depth_5_channel_3_sparsity_0,0075; acdc_full; 77,3500; 42,1900; 55,5300
train_mask2former_sc_seed_25_depth_5_channel_3_sparsity_0,02; acdc_night; 55,6600; 23,7100; 39,7300
train_mask2former_sc_seed_25_depth_5_channel_3_sparsity_0,02; dark_zurich; 53,4500; 23,3900; 40,2700
train_mask2former_sc_seed_25_depth_5_channel_3_sparsity_0,02; cityscapes; 95,5300; 74,3000; 85,5600
train_mask2former_sc_seed_25_depth_5_channel_3_sparsity_0,02; acdc_rain; 87,1700; 43,6100; 61,6400
train_mask2former_sc_seed_25_depth_5_channel_3_sparsity_0,02; acdc_snow; 82,4200; 46,3800; 60,3800
train_mask2former_sc_seed_25_depth_5_channel_3_sparsity_0,02; acdc_fog; 91,1300; 65,3400; 80,1300
train_mask2former_sc_seed_25_depth_5_channel_3_sparsity_0,02; acdc_full; 78,9100; 44,0200; 59,3700
