run; test_dataset; aAcc; mIoU; mAcc
train_deeplabv3plus_co_seed_25_depth_5_channel_3_sparsity_0,005; acdc_full; 69,6400; 32,7600; 43,6900
train_deeplabv3plus_co_seed_25_depth_5_channel_3_sparsity_0,02; acdc_night; 57,6300; 22,1700; 34,0700
train_deeplabv3plus_co_seed_25_depth_5_channel_3_sparsity_0,02; dark_zurich; 54,3500; 21,2100; 36,2100
train_deeplabv3plus_co_seed_25_depth_5_channel_3_sparsity_0,02; cityscapes; 94,4600; 63,5700; 73,7500
train_deeplabv3plus_co_seed_25_depth_5_channel_3_sparsity_0,02; acdc_rain; 85,8400; 38,5800; 50,0000
train_deeplabv3plus_co_seed_25_depth_5_channel_3_sparsity_0,02; acdc_snow; 77,9900; 34,2300; 45,4900
train_deeplabv3plus_co_seed_25_depth_5_channel_3_sparsity_0,02; acdc_fog; 84,9700; 44,2100; 54,3600
train_deeplabv3plus_co_seed_25_depth_5_channel_3_sparsity_0,02; acdc_full; 76,4600; 35,0500; 44,5300
train_deeplabv3plus_co_seed_42_depth_5_channel_3_sparsity_0,02; acdc_night; 59,6000; 23,6300; 35,2500
train_deeplabv3plus_co_seed_42_depth_5_channel_3_sparsity_0,02; dark_zurich; 56,5000; 21,8800; 36,3200
train_deeplabv3plus_co_seed_42_depth_5_channel_3_sparsity_0,02; cityscapes; 94,2300; 65,5400; 76,6100
train_deeplabv3plus_co_seed_42_depth_5_channel_3_sparsity_0,02; acdc_rain; 87,6800; 40,1100; 48,9500
train_deeplabv3plus_co_seed_42_depth_5_channel_3_sparsity_0,02; acdc_snow; 80,6800; 36,1800; 46,9900
train_deeplabv3plus_co_seed_42_depth_5_channel_3_sparsity_0,02; acdc_fog; 88,6200; 48,7000; 58,9200
train_deeplabv3plus_co_seed_42_depth_5_channel_3_sparsity_0,02; acdc_full; 78,9900; 37,0500; 46,0300
train_deeplabv3plus_co_seed_42_depth_5_channel_3_sparsity_0,0075; acdc_night; 59,5400; 21,2000; 34,4500
train_deeplabv3plus_co_seed_42_depth_5_channel_3_sparsity_0,0075; dark_zurich; 55,7400; 20,5800; 35,9300
train_deeplabv3plus_co_seed_42_depth_5_channel_3_sparsity_0,0075; cityscapes; 94,4300; 64,0000; 74,9400
train_deeplabv3plus_co_seed_42_depth_5_channel_3_sparsity_0,0075; acdc_rain; 85,8900; 37,6600; 47,7500
train_deeplabv3plus_co_seed_42_depth_5_channel_3_sparsity_0,0075; acdc_snow; 81,5100; 34,4600; 44,7300
train_deeplabv3plus_co_seed_42_depth_5_channel_3_sparsity_0,0075; acdc_fog; 88,1700; 48,1400; 58,2800
train_deeplabv3plus_co_seed_42_depth_5_channel_3_sparsity_0,0075; acdc_full; 78,6300; 34,6700; 44,2800
train_deeplabv3plus_co_seed_42_depth_5_channel_3_sparsity_0,005; acdc_night; 58,8000; 19,7700; 32,0400
train_deeplabv3plus_co_seed_42_depth_5_channel_3_sparsity_0,005; dark_zurich; 55,7200; 18,3300; 31,9700
train_deeplabv3plus_co_seed_42_depth_5_channel_3_sparsity_0,005; cityscapes; 94,7300; 65,8200; 75,9000
train_deeplabv3plus_co_seed_42_depth_5_channel_3_sparsity_0,005; acdc_rain; 87,0600; 38,7900; 50,0500
train_deeplabv3plus_co_seed_42_depth_5_channel_3_sparsity_0,005; acdc_snow; 81,3600; 33,3800; 44,7200
train_deeplabv3plus_co_seed_42_depth_5_channel_3_sparsity_0,005; acdc_fog; 89,5700; 50,3100; 60,6800
train_deeplabv3plus_co_seed_42_depth_5_channel_3_sparsity_0,005; acdc_full; 79,0400; 35,1900; 45,0900
train_deeplabv3plus_co_seed_42_depth_5_channel_3_sparsity_0,01; acdc_night; 58,1000; 21,0000; 32,8300
train_deeplabv3plus_co_seed_42_depth_5_channel_3_sparsity_0,01; dark_zurich; 54,7100; 19,6600; 33,4100
train_deeplabv3plus_co_seed_42_depth_5_channel_3_sparsity_0,01; cityscapes; 94,2500; 60,9100; 70,5300
train_deeplabv3plus_co_seed_42_depth_5_channel_3_sparsity_0,01; acdc_rain; 83,0500; 35,2900; 46,9500
train_deeplabv3plus_co_seed_42_depth_5_channel_3_sparsity_0,01; acdc_snow; 74,7500; 29,2400; 42,0100
train_deeplabv3plus_co_seed_42_depth_5_channel_3_sparsity_0,01; acdc_fog; 82,8100; 42,7500; 55,6200
train_deeplabv3plus_co_seed_42_depth_5_channel_3_sparsity_0,01; acdc_full; 74,5500; 31,4500; 42,4800
train_deeplabv3plus_co_seed_7_depth_5_channel_3_sparsity_0,01; acdc_night; 61,3900; 21,8000; 33,6000
train_deeplabv3plus_co_seed_7_depth_5_channel_3_sparsity_0,01; dark_zurich; 58,3200; 20,5600; 34,2100
train_deeplabv3plus_co_seed_7_depth_5_channel_3_sparsity_0,01; cityscapes; 94,1200; 63,9500; 73,6400
train_deeplabv3plus_co_seed_7_depth_5_channel_3_sparsity_0,01; acdc_rain; 85,7500; 36,5500; 45,7900
train_deeplabv3plus_co_seed_7_depth_5_channel_3_sparsity_0,01; acdc_snow; 81,4400; 32,5600; 43,4900
train_deeplabv3plus_co_seed_7_depth_5_channel_3_sparsity_0,01; acdc_fog; 87,9900; 45,8800; 54,8900
train_deeplabv3plus_co_seed_7_depth_5_channel_3_sparsity_0,01; acdc_full; 79,0000; 33,6800; 42,5600
train_deeplabv3plus_co_seed_7_depth_5_channel_3_sparsity_0,0075; acdc_night; 59,4900; 21,2500; 32,6200
train_deeplabv3plus_co_seed_7_depth_5_channel_3_sparsity_0,0075; dark_zurich; 55,7700; 19,7000; 32,0400
train_deeplabv3plus_co_seed_7_depth_5_channel_3_sparsity_0,0075; cityscapes; 94,8900; 66,5100; 76,8100
train_deeplabv3plus_co_seed_7_depth_5_channel_3_sparsity_0,0075; acdc_rain; 81,3900; 35,3700; 47,6000
train_deeplabv3plus_co_seed_7_depth_5_channel_3_sparsity_0,0075; acdc_snow; 72,5000; 31,2100; 44,5500
train_deeplabv3plus_co_seed_7_depth_5_channel_3_sparsity_0,0075; acdc_fog; 83,0100; 46,3700; 57,6900
train_deeplabv3plus_co_seed_7_depth_5_channel_3_sparsity_0,0075; acdc_full; 73,9900; 33,3600; 43,2100
train_deeplabv3plus_co_seed_7_depth_5_channel_3_sparsity_0,005; acdc_night; 52,4100; 17,8600; 29,1000
train_deeplabv3plus_co_seed_7_depth_5_channel_3_sparsity_0,005; dark_zurich; 48,2000; 16,7000; 30,1200
train_deeplabv3plus_co_seed_7_depth_5_channel_3_sparsity_0,005; cityscapes; 94,8100; 67,9400; 77,1800
train_deeplabv3plus_co_seed_7_depth_5_channel_3_sparsity_0,005; acdc_rain; 81,3400; 37,0000; 49,4800
train_deeplabv3plus_co_seed_7_depth_5_channel_3_sparsity_0,005; acdc_snow; 70,3700; 31,1000; 43,6600
train_deeplabv3plus_co_seed_7_depth_5_channel_3_sparsity_0,005; acdc_fog; 82,1400; 47,9700; 60,3200
train_deeplabv3plus_co_seed_7_depth_5_channel_3_sparsity_0,005; acdc_full; 71,4200; 32,8500; 43,5900
train_deeplabv3plus_co_seed_7_depth_5_channel_3_sparsity_0,02; acdc_night; 58,0800; 21,2700; 32,5800
train_deeplabv3plus_co_seed_7_depth_5_channel_3_sparsity_0,02; dark_zurich; 55,6400; 19,7800; 33,7200
train_deeplabv3plus_co_seed_7_depth_5_channel_3_sparsity_0,02; cityscapes; 94,1000; 64,0100; 73,7800
train_deeplabv3plus_co_seed_7_depth_5_channel_3_sparsity_0,02; acdc_rain; 85,5400; 37,0500; 46,1100
train_deeplabv3plus_co_seed_7_depth_5_channel_3_sparsity_0,02; acdc_snow; 78,4000; 33,2100; 42,7100
train_deeplabv3plus_co_seed_7_depth_5_channel_3_sparsity_0,02; acdc_fog; 86,6900; 45,1400; 53,5500
train_deeplabv3plus_co_seed_7_depth_5_channel_3_sparsity_0,02; acdc_full; 77,0300; 34,0100; 42,1300
