run; test_dataset; aAcc_mean; aAcc_std; mIoU_mean; mIoU_std; mAcc_mean; mAcc_std
train_mask2former_sc_depth_5_channel_3_sparse_percent_based_0,5; dark_zurich; 56,0967; 0,8903; 24,1900; 1,6271; 38,3900; 1,1622
train_mask2former_sc_depth_5_channel_3_sparse_percent_based_0,6; acdc_fog; 89,7100; 1,7464; 60,5933; 3,5537; 74,2433; 4,3458
train_mask2former_sc_depth_5_channel_3_sparse_percent_based_0,6; acdc_full; 78,0100; 1,4337; 45,0600; 1,4018; 58,7267; 0,6928
train_mask2former_sc_depth_5_channel_3_sparse_percent_based_0,6; acdc_night; 52,9400; 0,9965; 22,8633; 0,2303; 35,8967; 2,1784
train_mask2former_sc_depth_5_channel_3_sparse_percent_based_0,6; acdc_rain; 87,1667; 2,1586; 46,5633; 2,4077; 64,0633; 1,5821
train_mask2former_sc_depth_5_channel_3_sparse_percent_based_0,6; acdc_snow; 83,0167; 1,6120; 49,3700; 0,9861; 61,0867; 0,4765
train_mask2former_sc_depth_5_channel_3_sparse_percent_based_0,6; cityscapes; 95,4500; 0,0693; 72,3400; 0,0361; 83,4233; 0,5140
train_mask2former_sc_depth_5_channel_3_sparse_percent_based_0,6; dark_zurich; 50,2367; 0,9052; 21,6833; 0,0833; 34,4633; 1,5931
train_mask2former_sc_depth_5_channel_3_sparse_percent_based_0,7; acdc_fog; 87,3433; 2,1436; 57,8467; 3,6128; 71,2767; 2,8955
train_mask2former_sc_depth_5_channel_3_sparse_percent_based_0,7; acdc_full; 77,0333; 1,9653; 40,0900; 0,8260; 52,2967; 1,5462
train_mask2former_sc_depth_5_channel_3_sparse_percent_based_0,7; acdc_night; 52,7467; 2,2879; 21,1367; 1,4200; 32,9100; 1,8183
train_mask2former_sc_depth_5_channel_3_sparse_percent_based_0,7; acdc_rain; 85,7333; 2,0120; 42,9600; 1,1353; 58,3233; 0,6757
train_mask2former_sc_depth_5_channel_3_sparse_percent_based_0,7; acdc_snow; 83,0967; 1,5726; 43,3300; 1,2511; 53,0267; 0,5279
train_mask2former_sc_depth_5_channel_3_sparse_percent_based_0,7; cityscapes; 95,2400; 0,0755; 71,6200; 1,2443; 82,8000; 1,2311
train_mask2former_sc_depth_5_channel_3_sparse_percent_based_0,7; dark_zurich; 50,2867; 1,6055; 20,0467; 2,3093; 31,8467; 1,3282
train_mask2former_sc_depth_5_channel_3_sparse_percent_based_0,8; acdc_fog; 86,1167; 1,5587; 53,4100; 6,3339; 66,7800; 5,4751
train_mask2former_sc_depth_5_channel_3_sparse_percent_based_0,8; acdc_full; 76,6167; 1,3657; 39,8967; 1,8452; 50,2800; 2,4337
train_mask2former_sc_depth_5_channel_3_sparse_percent_based_0,8; acdc_night; 51,1533; 4,9106; 21,6300; 1,4465; 33,3000; 1,7640
train_mask2former_sc_depth_5_channel_3_sparse_percent_based_0,8; acdc_rain; 86,1033; 0,6650; 41,5400; 1,6160; 55,3667; 1,6459
train_mask2former_sc_depth_5_channel_3_sparse_percent_based_0,8; acdc_snow; 83,9167; 0,9551; 43,8200; 1,1865; 53,6967; 1,1544
train_mask2former_sc_depth_5_channel_3_sparse_percent_based_0,8; cityscapes; 94,4633; 0,1159; 66,6833; 1,2314; 78,4967; 0,8451
train_mask2former_sc_depth_5_channel_3_sparse_percent_based_0,8; dark_zurich; 51,4900; 6,5471; 20,6767; 1,9288; 32,7767; 4,2195
train_mask2former_sc_depth_5_channel_3_sparse_percent_based_0,9; acdc_fog; 85,2167; 1,2407; 45,6733; 2,2066; 58,5500; 1,9968
train_mask2former_sc_depth_5_channel_3_sparse_percent_based_0,9; acdc_full; 75,3800; 1,1979; 35,6867; 0,1365; 45,4833; 0,8401
train_mask2former_sc_depth_5_channel_3_sparse_percent_based_0,9; acdc_night; 52,2000; 2,1526; 21,8233; 0,9513; 34,1833; 2,9152
train_mask2former_sc_depth_5_channel_3_sparse_percent_based_0,9; acdc_rain; 84,1500; 2,1500; 36,2467; 2,0764; 46,0533; 1,5005
train_mask2former_sc_depth_5_channel_3_sparse_percent_based_0,9; acdc_snow; 80,7033; 2,1832; 39,2800; 1,4556; 47,8100; 1,6372
train_mask2former_sc_depth_5_channel_3_sparse_percent_based_0,9; cityscapes; 92,8200; 0,1572; 62,0700; 0,8779; 75,2167; 1,0604
train_mask2former_sc_depth_5_channel_3_sparse_percent_based_0,9; dark_zurich; 50,6133; 3,0450; 20,4967; 1,3093; 32,9333; 2,4178
