run; test_dataset; aAcc; mIoU; mAcc
train_deeplabv3plus_baseline_seed_7_depth_0_channel_3_sparsity_0,7; dark_zurich; 32,2600; 7,9500; 17,9700
train_deeplabv3plus_baseline_seed_7_depth_0_channel_3_sparsity_0,7; cityscapes; 91,1600; 54,7800; 64,3900
train_deeplabv3plus_baseline_seed_7_depth_0_channel_3_sparsity_0,7; acdc_rain; 57,2000; 17,9700; 26,5700
train_deeplabv3plus_baseline_seed_7_depth_0_channel_3_sparsity_0,7; acdc_snow; 52,0700; 20,7400; 33,9100
train_deeplabv3plus_baseline_seed_7_depth_0_channel_3_sparsity_0,7; acdc_fog; 55,2100; 17,9800; 30,0700
train_deeplabv3plus_baseline_seed_7_depth_0_channel_3_sparsity_0,7; acdc_full; 59,2300; 18,3700; 31,5700
train_deeplabv3plus_baseline_seed_7_depth_0_channel_3_sparsity_0,4; acdc_night; 46,0400; 13,3100; 20,0900
train_deeplabv3plus_baseline_seed_7_depth_0_channel_3_sparsity_0,4; dark_zurich; 31,9100; 6,2200; 13,5100
train_deeplabv3plus_baseline_seed_7_depth_0_channel_3_sparsity_0,4; cityscapes; 92,9100; 62,8900; 73,7100
train_deeplabv3plus_baseline_seed_7_depth_0_channel_3_sparsity_0,4; acdc_rain; 65,2000; 22,0600; 29,7700
train_deeplabv3plus_baseline_seed_7_depth_0_channel_3_sparsity_0,4; acdc_snow; 52,4100; 21,7000; 31,3600
train_deeplabv3plus_baseline_seed_7_depth_0_channel_3_sparsity_0,4; acdc_fog; 60,4900; 30,7800; 40,0000
train_deeplabv3plus_baseline_seed_7_depth_0_channel_3_sparsity_0,4; acdc_full; 60,4000; 23,8700; 34,1400
